LANDSYSTEM-KEY,COMP-ID,LS_DESCRIPTION
Emmerwest,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Endinda,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Ennugan,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Ewaninga,SOUTH-1M,level to undulating sandplains with red sands
Explanado,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Fabian,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Favenc,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Finke,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Fitzmaurice,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Flatwood,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Fleabitten,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Fleming,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Fletcher,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Flinders,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Flying-Fox,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Forrest,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Franklin,SOUTH-1M,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Frayne,SOUTH-1M,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Frayne1,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Frayne2,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Frayne3,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Frazer,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Frog,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Gallipoli,NORTH-250,level to gently undulating clay plains (black soil plains); cracking clay soils
Gecko,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Geebee,SOUTH-1M,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Georgina,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Giddy,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Gillen,SOUTH-1M,"rugged ranges on quartzite, sandstone and conglomerate; outcrop with shallow, stony sandy soils"
Glyde,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Gordon,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Goromuru,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Gosse,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Gove,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Grappa,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Green-Ant,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Gregory,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Groote,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Gully,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Hamilton,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Hann,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Harts,SOUTH-1M,"rugged mountain ranges on gneiss, schist and granite; outcrop with shallow, gritty and stony soils"
Hawk,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Hayes,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Hayward,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Headley,SOUTH-1M,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Helen-Springs,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Hermit,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Hermit-rise,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Hobblechain,NORTH-250,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Hodgson,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Hogarth,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Honeycomb,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Horse-Creek,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Huckitta,SOUTH-1M,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Humbert,SOUTH-1M,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Ilbumric,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Ilgulla,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Inacumba,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Indiana,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Inverway,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Irgul,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Ivanhoe,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Ivanhoe1,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Ivanhoe2,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Ivanhoe3,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Jalboi,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Jasper,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Jay,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Jindara,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Jinka,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Joan,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Joanundah,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Jumpup,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Jundee,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Kalamerta,SOUTH-1M,level to undulating sandplains with red sands
Kallala,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Kanandra,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Kangaroo,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Kaniyarrang,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Kapping,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Karaman,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Karee,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Karns,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Kay,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Keating,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Keats,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Keats-strike,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Keckwick,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Keefers-Hut,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Kennedy,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Kernot,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Kimbyan,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Klatt,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Knifehandle,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Koolatong,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Koongie,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Kosher,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Krans,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Krichauff,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Krokane,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Kulampirri,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Kularruty,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Kulgera,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Kunje,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Kurundi,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Kysto,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
lake,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Lalngang,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Lancewood2,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Lancewood1,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Lancewood2,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Lancewood3,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Langdon,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Lanning,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Lansen,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Larrimah,NORTH-250,level to gently undulating clay plains (black soil plains); cracking clay soils
Leahy,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Legune,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Leila,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Levee,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Lilla,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Lindavale,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Lindibah,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Lindsay,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Litchfield,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Littoral1,NORTH-250,tidal mudflats and coastal floodplains with channels and estuaries; subject to tidal inundation; poorly drained clays and muds
Littoral2,NORTH-250,tidal mudflats and coastal floodplains with channels and estuaries; subject to tidal inundation; poorly drained clays and muds
Littoral1,NORTH-250,tidal mudflats and coastal floodplains with channels and estuaries; subject to tidal inundation; poorly drained clays and muds
Littoral2,NORTH-250,tidal mudflats and coastal floodplains with channels and estuaries; subject to tidal inundation; poorly drained clays and muds
Liverpool,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Lucy,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Macadam,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Macphee,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Madjellindi,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Mais,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Maranboy,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Marangala,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Marchinbar,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Mataranka,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
McArthur,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
McDills,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
McGorrery,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
McGrath,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
McKinlay,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
McLeod,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Melville,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Mering,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Middleton,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Miller,NORTH-250,level to gently undulating clay plains (black soil plains); cracking clay soils
Mirikau,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Mirringadja,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mitchell,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Mitchiebo,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Miwal,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Montejinni,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Moonkinu,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Mountnorris,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Moyle,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Moyle-denuded,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Moyle-denuded,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Mt-Isa,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Muckaninnie,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Mueller,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Mullaman1,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman2,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman-dissected1,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman1,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman2,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman3,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman4,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman-dissected1,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman-dissected2,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman-dissected3,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullaman-scarp,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Mullapinka,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Muller,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Mululu,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Munyi,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Murgenella,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Murphy,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Murray,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Nacoolya,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Napier,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Napperby,SOUTH-1M,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Nathan,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Nelson,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Newman,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Nicholson,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Nioner,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Nova,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Nutwood,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Nymbili,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
October,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
OKeefe,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Ooratippra,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Outounya,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Packsaddle,NORTH-250,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Paludal,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Parsons,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Patterson,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Peaked,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Peebles,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Pellew,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Pertnjara,SOUTH-1M,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Pickertaramoor,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Pinkerton,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Pinkerton-summit,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Pinkerton-upland,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Pinkerton-summit,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Pinkerton-upland,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Pinwinkle,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Piper,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Pollyarra,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Pollyarra-Creswell,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Prentice,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Pularoo,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Pulya,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Queue,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Rainforest,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Ramsay,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Red-Rock,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Red-Lily,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
